Constituency name,Region,Winner,con_pct,lab_pct,ldem_pct,grn_pct,snp_pct,pc_pct,ref_pct,rstr_pct,ind_pct,oth_pct
Cheadle,Northern England,LDem,22.6,15.6,46.7,3.2,0.0,0.0,10.1,0.0,0.2,1.6
Chelmsford,Southern England,LDem,30.5,12.0,39.9,3.1,0.0,0.0,13.3,0.0,0.1,1.0
Chelsea and Fulham,London,Lab,39.1,39.4,7.7,5.9,0.0,0.0,6.7,0.0,0.0,1.3
Cheltenham,Southern England,LDem,36.1,5.4,50.6,6.4,0.0,0.0,0.0,0.0,1.6,0.0
Chesham and Amersham,Southern England,LDem,34.8,6.4,44.8,3.1,0.0,0.0,9.8,0.0,0.0,1.1
Chester North and Neston,Northern England,Lab,23.2,49.8,4.6,9.2,0.0,0.0,13.1,0.0,0.0,0.0
Chester South and Eddisbury,Northern England,Con,37.9,32.1,10.3,4.3,0.0,0.0,12.2,0.0,3.1,0.0
Chesterfield,Midlands,Lab,20.4,46.5,6.1,6.5,0.0,0.0,19.0,0.0,0.0,1.5
Chichester,Southern England,LDem,25.7,6.1,49.2,3.5,0.0,0.0,15.1,0.0,0.4,0.0
Chingford and Woodford Green,London,Con,35.6,25.8,2.6,2.7,0.0,0.0,7.5,0.0,25.7,0.0
Chippenham,Southern England,LDem,29.1,7.9,45.5,3.9,0.0,0.0,12.4,0.0,1.1,0.0
Chipping Barnet,London,Lab,36.7,42.4,5.1,6.8,0.0,0.0,7.8,0.0,0.4,0.7
Chorley,Northern England,Ind,0.0,0.0,0.0,13.7,0.0,0.0,0.0,0.0,74.3,12.0
Christchurch,Southern England,Con,35.8,16.4,20.0,4.0,0.0,0.0,18.9,0.0,3.7,1.2
Cities of London and Westminster,London,Lab,32.1,39.0,11.1,7.3,0.0,0.0,7.0,0.0,0.5,3.0
City of Durham,Northern England,Lab,12.9,47.1,14.6,6.9,0.0,0.0,18.2,0.0,0.0,0.4
Clacton,Southern England,Ref,27.9,16.2,4.4,4.2,0.0,0.0,46.2,0.0,0.7,0.4
Clapham and Brixton Hill,London,Lab,10.2,56.5,14.4,13.5,0.0,0.0,4.1,0.0,0.9,0.3
Clwyd East,Wales,Lab,29.0,38.7,3.9,3.5,0.0,7.8,15.9,0.0,1.3,0.0
Clwyd North,Wales,Lab,32.7,35.5,4.0,3.3,0.0,7.6,16.8,0.0,0.0,0.0
Coatbridge and Bellshill,Scotland,Lab,3.6,49.8,1.7,3.2,33.4,0.0,6.7,0.0,0.0,1.6
Colchester,Southern England,Lab,23.5,41.9,14.2,5.4,0.0,0.0,14.8,0.0,0.0,0.2
Colne Valley,Northern England,Lab,30.3,41.0,4.3,7.5,0.0,0.0,15.8,0.0,0.0,1.0
Congleton,Northern England,Lab,30.9,37.7,5.6,4.0,0.0,0.0,16.4,0.0,4.4,1.1
Corby and East Northamptonshire,Midlands,Lab,29.6,42.4,4.4,5.1,0.0,0.0,17.7,0.0,0.9,0.0
Coventry East,Midlands,Lab,16.9,49.5,3.3,7.4,0.0,0.0,18.1,0.0,0.0,4.9
Coventry North West,Midlands,Lab,20.3,46.9,4.6,8.1,0.0,0.0,18.9,0.0,1.2,0.0
Coventry South,Midlands,Lab,23.8,47.6,5.9,5.5,0.0,0.0,13.4,0.0,1.2,2.6
Cowdenbeath and Kirkcaldy,Scotland,Lab,7.8,45.7,3.9,3.8,28.0,0.0,7.7,0.0,0.0,3.1
